question,document
"Can I switch the AI provider in a Kestra flow, like from OpenAI to Gemini or Anthropic, without rewriting the flow?",cce328db64
"Besides Gemini, what other AI providers work with Kestra, and can I plug in something like Groq, Ollama, or even a local model?",f442efe5b4
"Does Kestra only work with a few fixed LLM vendors, or can I swap in an OpenAI-compatible provider without rewriting the flow?",f442efe5b4
"If I want to run models locally in Kestra, is there support for Ollama or LM Studio, or do I need a special setup?",f442efe5b4
"Why does the course use Gemini in the examples if Kestra can connect to OpenAI, Anthropic, Grok, xAI, and other providers too?",f442efe5b4
When should I use the generic Kestra AI plugin instead of a provider-specific one like plugin-gemini or plugin-openai?,f442efe5b4
"Is there a way to build a Kestra flow without writing YAML by hand, and what are the no-code options?",bfe5502c30
How does Kestra let me create workflows if I don't want to edit code directly?,bfe5502c30
Can I use an AI assistant or some external tool to generate a Kestra workflow for me?,bfe5502c30
What’s the difference between Kestra’s approach and Airflow when it comes to business logic vs orchestration logic?,bfe5502c30
"For really simple automations, is Kestra overkill compared to Zapier or n8n, or when would it make sense to use it instead?",bfe5502c30
Why does ChatGPT sometimes make up Kestra YAML fields like bucket or name that aren’t actually in the plugin?,93a3e8b98c
How do I check if a Kestra flow generated by AI uses the right properties for my version?,93a3e8b98c
What’s the real config for uploading a file to GCS in Kestra instead of using separate bucket and name fields?,93a3e8b98c
"For Kestra BigQuery load jobs, why is destinationTable used instead of projectId, dataset, and table separately?",93a3e8b98c
What’s the best way to avoid bad AI-generated Kestra YAML and make sure it parses in my environment?,93a3e8b98c
Why do people track token usage in Kestra workflows when calling LLMs?,a4adc70f41
How does token monitoring help with LLM costs in scheduled or looping flows?,a4adc70f41
What’s the point of checking `usage.total_tokens` in a Kestra AI task?,a4adc70f41
How can token counts be useful for prompt tuning and reducing spend?,a4adc70f41
Why would you set alerts or thresholds around token usage in an orchestrated LLM pipeline?,a4adc70f41
"Why does Docker Desktop say ""mounts denied"" when I try to run Kestra, and what path should I share to fix it?",dd8b4c9fda
I’m getting an error that a host path isn’t shared from Docker Desktop. Where do I add `/tmp` or `/tmp/kestra-wd` so the container can mount it?,dd8b4c9fda
What steps do I need in Docker Desktop to let Kestra access the folder it wants to mount from my machine?,dd8b4c9fda
"After a Docker Desktop file-sharing issue, do I need to change settings, restart Docker, and rerun `docker compose up -d`?",dd8b4c9fda
How can I stop the Docker error about `/tmp/...` not being shared from the host when launching Kestra?,dd8b4c9fda
"For the Module 3 Kestra homework, what exactly am I supposed to upload if everything was done in the Kestra UI?",f29f622684
"Do I need to submit a GitHub repo for Module 3 even if I didn’t write much code, and what should go inside it?",f29f622684
"If my homework work was mostly in Kestra flows, should I export the YAML files and push them to a public repo for the submission?",f29f622684
"For the Kestra assignment, is a README enough for the repo, or do I need to include the actual flow files too?",f29f622684
"How should I organize and submit the Module 3 homework files, and do the form answers go in the repo or somewhere else?",f29f622684
Why do I keep getting `JSONDecodeError: Expecting value` when I try to parse the LLM output with `json.loads()`?,a3c7e1b4f9
How can I make the model return real JSON instead of markdown fences or extra text when generating ground-truth questions?,a3c7e1b4f9
Is there a way to force OpenAI to give me a JSON object so `response.choices[0].message.content` can be parsed safely?,a3c7e1b4f9
What should I put in the prompt so the LLM only returns a JSON object with a `questions` field and nothing else?,a3c7e1b4f9
Does Gemini or Groq have a similar setting to OpenAI `response_format` for JSON output?,a3c7e1b4f9
Why does my Jupyter notebook kernel crash when I try to embed the ground-truth set in module 4 evaluation?,b8f2d6a30c
Is there a smaller embedding model I can use if the default one makes my Codespaces notebook run out of memory?,b8f2d6a30c
"If embedding all the data in the notebook is too heavy, what’s the easiest way to do it outside Jupyter and bring the vectors back?",b8f2d6a30c
"Can I fix the memory issue just by changing the Codespaces machine type, or do I need to run the eval locally?",b8f2d6a30c
What’s the best way to handle the ground-truth embedding step when I only have a small-RAM laptop or default Codespaces machine?,b8f2d6a30c
Why does my ground-truth generation still hit Gemini limits even after I added a `time.sleep(4)` between requests?,c1e9f4b820
What should I do if a long `tqdm` loop blows through the free Gemini quota while building the evaluation dataset?,c1e9f4b820
Is there a cheaper or easier model/provider I can use instead of free-tier Gemini for generating the ground truth?,c1e9f4b820
How can I reduce the chance of rate-limit errors when I’m using a thread pool to call the API?,c1e9f4b820
"If the job gets cut off by limits midway, what’s the best way to continue without losing all the partial ground-truth data?",c1e9f4b820
How do I fix the WinError 126 problem when torch can’t load fbgemm.dll on Windows?,15e931476c
"If Python says it can’t find fbgemm.dll in the torch folder, what should I install to solve it?",15e931476c
Do I need Visual C++ Redistributable for the PyTorch fbgemm.dll missing error on Windows?,15e931476c
Is installing Visual Studio helpful for the 'The specified module could not be found' error with torch on Windows?,15e931476c
What’s the difference between Visual Studio and Visual Studio Code when trying to fix the fbgemm.dll import error?,15e931476c
"Why do I get ""could not translate host name postgres to address"" when I run prep.py, and what should I change in my .env file?",4b65d5542d
I'm seeing a psycopg2 OperationalError about the postgres host not being found. How can I fix the database connection?,4b65d5542d
What do I need to update in .env if python prep.py fails with No such host is known for postgres?,4b65d5542d
How can I stop the host name resolution error for postgres when preparing the data locally?,4b65d5542d
My prep.py breaks with OperationalError on postgres. Should POSTGRES_HOST stay as postgres or be set to something else?,4b65d5542d
How can I make Pandas stop cutting off long text in a column and show the full value?,641aedbbf5
"In the offline-rag-evaluation notebook, what should I set so the Explanation column displays the whole judge output?",641aedbbf5
"Why does Pandas only show part of my long text field, and how do I turn off that truncation?",641aedbbf5
Is there a Pandas option to show complete string contents instead of the default shortened version?,641aedbbf5
What line do I need to run in Pandas to view the full text in a column like the judge explanation?,641aedbbf5
How can I normalize the vectors stored in a Pandas DataFrame column?,5039707c1a
What's the easiest way to normalize each vector in a Pandas Series with NumPy?,5039707c1a
I have vectors in one DataFrame column — how do I create a normalized version of that column?,5039707c1a
How do I use a lambda function with np.linalg.norm to normalize every row vector in a pandas column?,5039707c1a
Is there a simple apply-based approach to normalize vector entries in a Pandas column?,5039707c1a
How can I get the 75th percentile from a pandas DataFrame column?,b4c8ac5a0c
What’s the pandas way to compute a 0.75 quantile for a Series?,b4c8ac5a0c
How do I find the percentile value of a column in a DataFrame using pandas?,b4c8ac5a0c
Is there a simple method to calculate quantiles in pandas for one column?,b4c8ac5a0c
"How can I use pandas to get the 75% percentile of df[""col""]?",b4c8ac5a0c
"How do I wipe out every Docker container from the terminal, even the ones that are still running?",66ccbb7da0
What command should I use to force-remove all Docker images at once?,66ccbb7da0
Is there a quick way to delete every Docker volume from the command line?,66ccbb7da0
"How can I clean up all containers, images, and volumes in Docker without doing them one by one?",66ccbb7da0
"What terminal commands remove the full Docker setup locally, including running containers and saved volumes?",66ccbb7da0
"How can I make sure feedback is only submitted once per answer in Streamlit, with +1 or -1 buttons disabled after the user clicks one of them?",2e729f1271
Why does `st.session.submitted` keep getting set back to True in my app even after a feedback button is pressed?,2e729f1271
"In Streamlit session state, how do I prevent the submitted flag from being reassigned after one feedback action?",2e729f1271
Is there a known fix for Streamlit session attributes being overwritten when using an ask button and feedback buttons?,2e729f1271
Where can I find the solution for the issue where Streamlit session state gets reset and feedback buttons stay enabled or disabled incorrectly?,2e729f1271
"Why am I getting `exec: ""streamlit"": executable file not found in $PATH` when I start my Streamlit app with docker-compose, even though it works locally?",e8df9f0d12
"Do I need a Dockerfile for a Streamlit app in docker-compose, and what should I check if the container won’t start?",e8df9f0d12
My compose setup fails with an OCI/runc error saying `streamlit` is missing — what’s the usual fix?,e8df9f0d12
"I added Streamlit to my project, but inside docker-compose it says the executable can’t be found. What am I missing in the setup?",e8df9f0d12
"After changing my Streamlit container config, should I rebuild the image, and what command should I run?",e8df9f0d12
"Can the capstone be done as a team project, or does everyone need to submit their own work?",0fab61eca2
"If a few of us work on one bigger idea, is that allowed for the capstone?",0fab61eca2
Would a shared project be acceptable if each person builds a separate part and has their own repo?,0fab61eca2
"If we collaborate on the concept, does that still count as an individual capstone submission?",0fab61eca2
What happens if the project can’t be checked separately for each student?,0fab61eca2
"Do we have to submit two separate capstone projects, or is one enough?",d5fc98925d
What exactly do attempt #1 and attempt #2 mean for the capstone submission?,d5fc98925d
"If my first project submission gets rejected, can I fix it and submit again later?",d5fc98925d
Can I skip the first submission window and just submit during attempt #2?,d5fc98925d
"If I decide to submit two projects for practice, do they need to be on different datasets and tasks?",d5fc98925d
"Is the competition accepted as the capstone project, or do we still need to do the capstone separately?",e892d44e42
"Can I join the math-kaggle-llm-competition with a team, and does that count for the capstone?",e892d44e42
"Do we have to submit the capstone on our own, even if we take part in the competition together?",e892d44e42
"If I participate in the competition as a group, does that replace the individual capstone requirement?",e892d44e42
"Is the capstone supposed to be an individual project, or can the competition be used instead?",e892d44e42
How will my capstone project be graded at the end of the course?,9a2e2d2008
Who reviews the capstone projects after submission?,9a2e2d2008
Do I also need to score other students' capstone projects?,9a2e2d2008
What happens if I don't review the required number of classmates' projects?,9a2e2d2008
How is the final capstone score calculated from the peer reviews?,9a2e2d2008
When do we get assigned projects to review and grade after the deadline?,eae0fb50aa
How are the capstone projects distributed to each participant for grading?,eae0fb50aa
Will the project assignments for review come before or after the submission deadline?,eae0fb50aa
How many projects will each participant be assigned for review in the capstone?,eae0fb50aa
What format will the project review assignments be shared in?,eae0fb50aa
"I already turned in my capstone project, so why am I still not able to review anyone else's submission yet?",a8a7fef016
"After the submission deadline passes, do we get assigned projects to evaluate automatically, or can we pick which ones to review?",a8a7fef016
Is it normal that I can't start reviewing projects before the list is released even though I've submitted mine?,a8a7fef016
"Once the deadline is over, how does project evaluation work for students in the capstone project?",a8a7fef016
"Why am I not seeing any projects to review after submitting my project, and when will they become available?",a8a7fef016
Where can I look for project ideas and datasets for the capstone project?,e76a70cde3
Is there a page with some example datasets and ideas I can use for the project?,e76a70cde3
Can you point me to a GitHub link with project suggestions and data sources?,e76a70cde3
How do I find a few good ideas or datasets for the llm-zoomcamp project?,e76a70cde3
"Is there a place with tips, guidelines, and possible datasets for the capstone project?",e76a70cde3
"Do I have to use Airflow, Mage, or Kestra in the capstone project, or is a simple Python script okay?",d4f7c08ea1
Will I lose points in the ingestion pipeline part if I just write a Python script to load and index the data?,d4f7c08ea1
"If I build the ingestion steps in a Jupyter notebook instead of a script, how many points can I get?",d4f7c08ea1
Is it necessary to add an orchestration tool just to satisfy the capstone requirements?,d4f7c08ea1
"When does it actually make sense to use an orchestrator for the project, like for data that gets updated every day?",d4f7c08ea1
How can I evaluate a recommender-style RAG system when I don't have obvious ground-truth Q&A pairs?,9b0e2d6a47
What’s a good way to create synthetic evaluation data for a retrieval recommender from item descriptions?,9b0e2d6a47
"Can I use an LLM to judge the quality of my RAG answers end to end, and how would I set that up?",9b0e2d6a47
"For ranking-style RAG problems, is NDCG better than hit rate, and why?",9b0e2d6a47
What metrics should I use to check whether my recommender RAG is retrieving the right items near the top?,9b0e2d6a47
"For a big corpus with long PDFs, what chunk size should I start with before trying anything fancy?",6f2a8b3d10
Is it worth asking an LLM to split PDFs into sections instead of using basic fixed chunks?,6f2a8b3d10
"Should I add summaries to each chunk, and if so, how do they help retrieval?",6f2a8b3d10
When does hybrid search like BM25 plus embeddings make more sense for long documents?,6f2a8b3d10
"What tools would you use to turn PDFs into cleaner markdown before chunking, like for tables or academic papers?",6f2a8b3d10
What do you mean by reproducibility in the capstone project — does the reviewer need my API keys to run it?,e5d8a2c761
How should I set up my repo so someone else can recreate the system from scratch without my credentials?,e5d8a2c761
Do I need to include a script or notebook that rebuilds the dataset and search index locally?,e5d8a2c761
What’s the best way to handle environment variables for the project — should I commit a .env file or use a sample file?,e5d8a2c761
Which model and dependency setup should I use so reviewers can test the project without spending a lot of credits or hitting version issues?,e5d8a2c761
"Can I do the homework and capstone in a language other than Python, like JavaScript, Go, or Rust, or do I need to stick to Python?",ea815eb858
"If I decide to use a non-Python stack for the project, what kind of README or setup instructions should I provide so it can be reviewed easily?",ea815eb858
"Would the course reviewers accept a solution built with TypeScript, Java, Scala, C#, or R, and are there any extra requirements for that?",ea815eb858
"For a project written outside Python, what should I include so someone can install it and run it on Windows, macOS, and Linux without guessing?",ea815eb858
"Is it okay to use another programming language for the final project, and what makes that choice acceptable or not from the course point of view?",ea815eb858
Where do I see past LLM Zoomcamp capstone project submissions?,930286278d
Is there a page with 2024 LLM Zoomcamp projects I can check out?,930286278d
Can I look at 2025 LLM Zoomcamp project examples somewhere?,930286278d
Where are the submitted project repos from earlier LLM Zoomcamp cohorts listed?,930286278d
Do you have links to previous capstone projects so I can understand the expected scope?,930286278d
Do I have to announce my capstone project idea before I start working on it?,897a350476
Is there any need to reserve a project topic for the LLM Zoomcamp capstone?,897a350476
Can I just start a capstone idea without posting it first anywhere?,897a350476
"If I’m unsure about my project scope, where should I ask for feedback in the course?",897a350476
Are projects with a similar idea to previous submissions allowed as long as I build it myself?,897a350476
Can I make my capstone as a Telegram or WhatsApp bot instead of a website?,7318a90b14
"Is a web app required for the project, or can I use a CLI or notebook too?",7318a90b14
Do you have any strict rules about what interface the final project should have?,7318a90b14
"If I choose Slack or another chat app for the capstone, is that allowed?",7318a90b14
"Will the course show how to build the interface, or do I need to handle that part myself?",7318a90b14
"What’s the best tool to pull text out of PDFs for a RAG app, or is there a recommended one in the course?",d8b28c47a0
"If my PDFs are scanned images and don’t have selectable text, what should I use to extract the content?",d8b28c47a0
"Has anyone tried docling, PyMuPDF, or unstructured for document parsing in this project — which one works best?",d8b28c47a0
"Should I use a local OCR tool like Tesseract, or is it okay to use a hosted OCR API instead?",d8b28c47a0
"After I extract text from my PDFs, what’s the next step for getting the docs ready for RAG?",d8b28c47a0
"Can I reuse the workshop content in my own capstone project, or is it only for the class?",d850a0e7ea
"Since dlt is open-source, am I allowed to use the workshop material in another project outside this workshop?",d850a0e7ea
"Could I apply this workshop stuff to a different Zoomcamp project, like the MLOps one?",d850a0e7ea
Is it okay if I take the workshop examples and use them directly in my own work?,d850a0e7ea
"If I have questions about using the workshop content in my project, where should I ask them?",d850a0e7ea
How do I initialize a fresh dlt project for loading data from cloud storage into DuckDB?,6bceeebf04
What's the command to start a new dlt setup with filesystem and duckdb?,6bceeebf04
"If I want to create a dlt project from cloud files, what should I run first?",6bceeebf04
How do I begin a filesystem-to-duckdb pipeline in dlt?,6bceeebf04
What’s the initial command for a new dlt project using cloud data and DuckDB?,6bceeebf04
"Why do I get `FileNotFoundError: Table notion_pages___homework does not exist` when I try `db.open_table(""notion_pages___homework"")`?",0407213397
"I changed one table name, but opening `notion_pages___homework` still fails — what else should I check in my pipeline settings?",0407213397
What does the error about missing `notion_pages___homework` usually mean in the dlt workshop?,0407213397
"I renamed the table to homework, but `db.create_table(...)` is still mentioned in the error — did I miss a config change somewhere?",0407213397
"If `employee_handbook` was renamed for the assignment, why would the notebook still look for `notion_pages___homework`?",0407213397
Why am I getting FileNotFoundError: Table notion_pages___homework does not exist when I run main()?,e95bfafc0e
What table name should I open in line 3 if I get the Notion homework table error?,e95bfafc0e
How do I fix the issue where db.create_table is requested for notion_pages___homework?,e95bfafc0e
"In the dlt workshop homework, which table do I need to point db.open_table to?",e95bfafc0e
My code says the table doesn't exist for notion_pages___homework — what should the dbtable line be?,e95bfafc0e
How can I check what tables exist in the database?,e394e6f738
Is there a way to list all tables in the db with dlt?,e394e6f738
What method do I use to see the table names in the database?,e394e6f738
How do I get a list of every table currently in the database?,e394e6f738
Can I use db.table_names() to find out which tables are there?,e394e6f738
"Does DLT already support ClickHouse or StarRocks connectors, or are they still missing?",cd19f122f3
Can I use DLT to load data into ClickHouse or StarRocks right now?,cd19f122f3
Are there built-in connectors in DLT for ClickHouse and StarRocks?,cd19f122f3
"If DLT doesn't have ClickHouse or StarRocks connectors, is there any plan to add them?",cd19f122f3
Can the community contribute a ClickHouse or StarRocks connector to DLT?,cd19f122f3
Why am I getting a 401 unauthorized error when the notebook calls the Notion search endpoint?,0dfba07ace
What should I check if my notebook says it doesn’t have secret access for the Notion API?,0dfba07ace
"Could this Notion API error be caused by the wrong key or expired token, and how do I fix it?",0dfba07ace
How do I troubleshoot an authorization problem with api.notion.com in this workshop notebook?,0dfba07ace
I keep failing to access Notion from the notebook — what settings or permissions should I verify?,0dfba07ace
How do I install the newer requests version from the GitHub source zip instead of getting v2.28 from pip?,4b30b918bc
What pip command should I use to force requests v2.32.3 for lancedb setup?,4b30b918bc
"Why am I still getting an older requests release when I install dependencies, and how can I pin the right one?",4b30b918bc
Is there a way to install requests directly from the official source archive to avoid version mismatch issues?,4b30b918bc
"If my install is failing because requests is not the needed version, what exact command should I run to fix it?",4b30b918bc
